PS C:\Users\anmal\Desktop\ai\best ai\gen10 fasione  miniset - Copy> py -3.12 Gen_10-v2-93%+.py
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1788544237.260885   11704 port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1788544239.107074   11704 port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.

Using device: cuda

Dataset : Fashion-MNIST
Train   : 60,000 samples
Test    : 10,000 samples

Gen 10 Architecture (Spatial Order Preserved):
  Y-stream (rows)  : 28 -> [256, 126] -> 128  (flattened to 3584D map)
  X-stream (cols)  : 28 -> [256, 126] -> 128  (flattened to 3584D map)
  3D stack         : concat [3584 + 3584] = 7168D structural input
  Merger           : 7168 -> [1024, 512, 256] -> 10

Total trainable parameters: 8,116,990

Training Gen 10 XY Dual-Axis Net (Spatial Order + AdamW)...

  136 | train: 96.498% | test : 91.990% (best: 91.990%) | LR: 0.000110 | Drop: 0.534 | time: 0.53s
  138 | train: 96.203% | test : 91.900% (best: 91.990%) | LR: 0.000111 | Drop: 0.534 | time: 0.48s
  139 | train: 96.423% | test : 91.970% (best: 91.990%) | LR: 0.000110 | Drop: 0.534 | time: 0.49s
  140 | train: 96.340% | test : 91.920% (best: 91.990%) | LR: 0.000111 | Drop: 0.533 | time: 0.48s
  142 | train: 96.385% | test : 91.930% (best: 91.990%) | LR: 0.000111 | Drop: 0.533 | time: 0.48s
  144 | train: 96.630% | test : 91.920% (best: 91.990%) | LR: 0.000111 | Drop: 0.546 | time: 0.48s
  147 | train: 96.357% | test : 91.910% (best: 91.990%) | LR: 0.000111 | Drop: 0.546 | time: 0.47s
  149 | train: 96.455% | test : 91.910% (best: 91.990%) | LR: 0.000111 | Drop: 0.543 | time: 0.47s
  150 | train: 96.448% | test : 91.980% (best: 91.990%) | LR: 0.000110 | Drop: 0.543 | time: 0.48s
  151 | train: 96.473% | test : 92.020% (best: 92.020%) | LR: 0.000109 | Drop: 0.543 | time: 0.51s
  152 | train: 96.498% | test : 91.960% (best: 92.020%) | LR: 0.000110 | Drop: 0.547 | time: 0.48s
  155 | train: 96.522% | test : 91.940% (best: 92.020%) | LR: 0.000110 | Drop: 0.547 | time: 0.48s
  157 | train: 96.365% | test : 91.940% (best: 92.020%) | LR: 0.000110 | Drop: 0.554 | time: 0.48s
  159 | train: 96.407% | test : 92.080% (best: 92.080%) | LR: 0.000108 | Drop: 0.554 | time: 0.52s
  163 | train: 96.478% | test : 92.020% (best: 92.080%) | LR: 0.000109 | Drop: 0.553 | time: 0.48s
  164 | train: 96.430% | test : 92.050% (best: 92.080%) | LR: 0.000109 | Drop: 0.551 | time: 0.48s
  168 | train: 96.720% | test : 92.030% (best: 92.080%) | LR: 0.000109 | Drop: 0.564 | time: 0.50s
  182 | train: 96.665% | test : 92.060% (best: 92.080%) | LR: 0.000109 | Drop: 0.561 | time: 0.50s
  183 | train: 96.607% | test : 92.010% (best: 92.080%) | LR: 0.000109 | Drop: 0.561 | time: 0.50s
  184 | train: 96.557% | test : 92.060% (best: 92.080%) | LR: 0.000109 | Drop: 0.564 | time: 0.50s
  185 | train: 96.570% | test : 91.980% (best: 92.080%) | LR: 0.000110 | Drop: 0.564 | time: 0.50s
  188 | train: 96.758% | test : 92.000% (best: 92.080%) | LR: 0.000110 | Drop: 0.576 | time: 0.50s
  189 | train: 96.500% | test : 91.980% (best: 92.080%) | LR: 0.000110 | Drop: 0.576 | time: 0.50s
  191 | train: 96.417% | test : 92.120% (best: 92.120%) | LR: 0.000108 | Drop: 0.576 | time: 0.54s
  192 | train: 96.492% | test : 92.050% (best: 92.120%) | LR: 0.000109 | Drop: 0.571 | time: 0.50s
  193 | train: 96.647% | test : 92.150% (best: 92.150%) | LR: 0.000107 | Drop: 0.571 | time: 0.54s
  194 | train: 96.635% | test : 92.070% (best: 92.150%) | LR: 0.000108 | Drop: 0.571 | time: 0.50s
  197 | train: 96.593% | test : 92.050% (best: 92.150%) | LR: 0.000109 | Drop: 0.572 | time: 0.49s
  199 | train: 96.742% | test : 92.160% (best: 92.160%) | LR: 0.000107 | Drop: 0.572 | time: 0.53s
  200 | train: 96.620% | test : 92.050% (best: 92.160%) | LR: 0.000109 | Drop: 0.574 | time: 0.48s
  203 | train: 96.613% | test : 92.110% (best: 92.160%) | LR: 0.000108 | Drop: 0.574 | time: 0.48s
  206 | train: 96.572% | test : 92.150% (best: 92.160%) | LR: 0.000107 | Drop: 0.579 | time: 0.48s
  210 | train: 96.530% | test : 92.060% (best: 92.160%) | LR: 0.000109 | Drop: 0.580 | time: 0.48s
  217 | train: 96.618% | test : 92.160% (best: 92.160%) | LR: 0.000107 | Drop: 0.586 | time: 0.48s
  222 | train: 96.627% | test : 92.130% (best: 92.160%) | LR: 0.000107 | Drop: 0.585 | time: 0.48s
  223 | train: 96.542% | test : 92.100% (best: 92.160%) | LR: 0.000108 | Drop: 0.585 | time: 0.48s
  224 | train: 96.805% | test : 92.130% (best: 92.160%) | LR: 0.000107 | Drop: 0.594 | time: 0.48s
  225 | train: 96.537% | test : 92.140% (best: 92.160%) | LR: 0.000107 | Drop: 0.594 | time: 0.48s
  226 | train: 96.492% | test : 92.100% (best: 92.160%) | LR: 0.000108 | Drop: 0.594 | time: 0.48s
  230 | train: 96.772% | test : 92.230% (best: 92.230%) | LR: 0.000106 | Drop: 0.583 | time: 0.53s
  240 | train: 96.798% | test : 92.190% (best: 92.230%) | LR: 0.000107 | Drop: 0.599 | time: 0.48s
  244 | train: 96.652% | test : 92.280% (best: 92.280%) | LR: 0.000105 | Drop: 0.597 | time: 0.52s
  249 | train: 96.750% | test : 92.240% (best: 92.280%) | LR: 0.000106 | Drop: 0.601 | time: 0.48s
  250 | train: 96.555% | test : 92.250% (best: 92.280%) | LR: 0.000106 | Drop: 0.601 | time: 0.48s

--- Gen 10 Summary ---
Best test accuracy : 92.28%
Breaks 92% wall?   : YES!
Total parameters   : 8,116,990

PS C:\Users\anmal\Desktop\ai\best ai\gen10 fasione  miniset - Copy>
